agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q = 100,2,92,-11318.0,1.0612244897959184,20711.0,49.0
Q = 100,2,93,-11251.0,1.9705882352941178,20745.0,34.0
Q = 100,2,94,-11181.0,2.2580645161290325,20776.0,31.0
Q = 100,2,95,-11117.0,1.7297297297297298,20813.0,37.0
Q = 100,2,96,-11053.0,1.7297297297297298,20850.0,37.0
Q = 100,2,97,-11004.0,0.9423076923076923,20902.0,52.0
Q = 100,2,98,-10957.0,0.8703703703703703,20956.0,54.0
Q = 100,2,99,-10903.0,1.148936170212766,21003.0,47.0
Q = 100,3,0,-172.0,-0.63003663003663,273.0,273.0
Q = 100,3,1,-637.0,-0.8215547703180212,839.0,566.0
Q = 100,3,2,-2234.0,-0.9405182567726738,2537.0,1698.0
Q = 100,3,3,-2661.0,-0.8087121212121212,3065.0,528.0
Q = 100,3,4,-4499.0,-0.9479112944816916,5004.0,1939.0
Q = 100,3,5,-5207.0,-0.8751545117428925,5813.0,809.0
Q = 100,3,6,-5417.0,-0.6752411575562701,6124.0,311.0
Q = 100,3,7,-5776.0,-0.7804347826086957,6584.0,460.0
Q = 100,3,8,-5887.0,-0.5235849056603774,6796.0,212.0
Q = 100,3,9,-6897.0,-0.9090909090909091,7907.0,1111.0
Q = 100,3,10,-7453.0,-0.8462709284627092,8564.0,657.0
Q = 100,3,11,-7978.0,-0.8386581469648562,9190.0,626.0
Q = 100,3,12,-8797.0,-0.8902173913043478,10110.0,920.0
Q = 100,3,13,-9336.0,-0.8421875,10750.0,640.0
Q = 100,3,14,-10015.0,-0.8705128205128205,11530.0,780.0
Q = 100,3,15,-10512.0,-0.8311036789297659,12128.0,598.0
Q = 100,3,16,-10864.0,-0.7770419426048565,12581.0,453.0
Q = 100,3,17,-11289.0,-0.8079847908745247,13107.0,526.0
Q = 100,3,18,-11912.0,-0.8604972375690608,13831.0,724.0
Q = 100,3,19,-11866.0,0.8363636363636363,13886.0,55.0
Q = 100,3,20,-11850.0,0.18823529411764706,13971.0,85.0
Q = 100,3,21,-11868.0,-0.15126050420168066,14090.0,119.0
Q = 100,3,22,-11923.0,-0.3525641025641026,14246.0,156.0
Q = 100,3,23,-11961.0,-0.2733812949640288,14385.0,139.0
Q = 100,3,24,-12155.0,-0.6576271186440678,14680.0,295.0
Q = 100,3,25,-12234.0,-0.4388888888888889,14860.0,180.0
Q = 100,3,26,-12558.0,-0.7623529411764706,15285.0,425.0
Q = 100,3,27,-12948.0,-0.7942973523421588,15776.0,491.0
Q = 100,3,28,-12955.0,-0.06481481481481481,15884.0,108.0
Q = 100,3,29,-13072.0,-0.536697247706422,16102.0,218.0
Q = 100,3,30,-13125.0,-0.34415584415584416,16256.0,154.0
Q = 100,3,31,-13447.0,-0.7612293144208038,16679.0,423.0
Q = 100,3,32,-13589.0,-0.5843621399176955,16922.0,243.0
Q = 100,3,33,-13657.0,-0.40236686390532544,17091.0,169.0
Q = 100,3,34,-13840.0,-0.6443661971830986,17375.0,284.0
Q = 100,3,35,-13896.0,-0.35668789808917195,17532.0,157.0
Q = 100,3,36,-13908.0,-0.10619469026548672,17645.0,113.0
